image_path,plate_index,text,x1,y1,x2,y2,client_id
images/000000.jpg,0,RJ75XO4911,19,91,258,158,0
images/000000.jpg,1,TS01YR9555,14,65,264,136,0
images/000001.jpg,0,GJ60GC3721,82,69,299,133,1
images/000002.jpg,0,MH31HP3537,10,90,261,146,0
images/000002.jpg,1,AP11MZ3726,35,89,290,163,0
images/000003.jpg,0,RJ78AY1759,27,88,265,155,1
images/000004.jpg,0,DL88SP5140,27,60,291,143,0
images/000004.jpg,1,MH41TH1417,78,76,251,117,0
images/000005.jpg,0,GJ04LK8530,52,84,265,147,1
images/000005.jpg,1,MH74QU3380,61,97,246,155,1
images/000006.jpg,0,UP25IU4992,35,87,208,127,0
images/000007.jpg,0,KL04DB4234,57,87,286,153,1
images/000007.jpg,1,KA68RG1067,28,91,278,152,1
